[2026-06-30 18:43:15,469] 16 root - INFO - Initiate the data ingestion
[2026-06-30 18:43:17,004] 66 root - INFO - Performed train test split on the dataframe
[2026-06-30 18:43:17,004] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-30 18:43:17,005] 76 root - INFO - Exporting train and test file path.
[2026-06-30 18:43:17,060] 85 root - INFO - Exported train and test file path.
[2026-06-30 18:43:17,060] 20 root - INFO - Data Ingestion Completed
[2026-06-30 18:43:17,066] 25 root - INFO - Initiate the data Validation
[2026-06-30 18:43:17,115] 32 root - INFO - Required number of columns:2
[2026-06-30 18:43:17,151] 33 root - INFO - Data frame has columns:31
[2026-06-30 18:43:17,151] 32 root - INFO - Required number of columns:2
[2026-06-30 18:43:17,151] 33 root - INFO - Data frame has columns:31
[2026-06-30 18:43:17,354] 27 root - INFO - data Validation Completed
