[2026-07-01 02:22:41,872] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-07-01 02:22:43,598] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-07-01 02:22:45,326] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-07-01 02:22:45,355] 107 dagshub - INFO - Accessing as chrisjp06
[2026-07-01 02:22:47,185] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/chrisjp06/MLproject2 "HTTP/1.1 200 OK"
[2026-07-01 02:22:48,946] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-07-01 02:22:48,985] 107 dagshub - INFO - Initialized MLflow to track repo "chrisjp06/MLproject2"
[2026-07-01 02:22:48,986] 107 dagshub - INFO - Repository chrisjp06/MLproject2 initialized!
[2026-07-01 02:22:48,987] 18 root - INFO - Initiate the data ingestion
[2026-07-01 02:22:50,806] 66 root - INFO - Performed train test split on the dataframe
[2026-07-01 02:22:50,807] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-01 02:22:50,808] 76 root - INFO - Exporting train and test file path.
[2026-07-01 02:22:51,071] 85 root - INFO - Exported train and test file path.
[2026-07-01 02:22:51,071] 22 root - INFO - Data Ingestion Completed
[2026-07-01 02:22:51,091] 27 root - INFO - Initiate the data Validation
[2026-07-01 02:22:51,141] 32 root - INFO - Required number of columns:2
[2026-07-01 02:22:51,142] 33 root - INFO - Data frame has columns:31
[2026-07-01 02:22:51,142] 32 root - INFO - Required number of columns:2
[2026-07-01 02:22:51,142] 33 root - INFO - Data frame has columns:31
[2026-07-01 02:22:51,555] 29 root - INFO - data Validation Completed
[2026-07-01 02:22:51,556] 33 root - INFO - data Transformation started
[2026-07-01 02:22:51,556] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-07-01 02:22:51,556] 55 root - INFO - Starting data transformation
[2026-07-01 02:22:51,613] 38 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-07-01 02:22:51,613] 43 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-01 02:22:51,664] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-07-01 02:22:51,669] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-07-01 02:22:51,669] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-07-01 02:22:51,674] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-07-01 02:22:51,674] 37 root - INFO - data Transformation completed
[2026-07-01 02:22:51,674] 39 root - INFO - Model Training started
[2026-07-01 02:31:31,523] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-07-01 02:31:31,524] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-07-01 02:31:31,524] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-07-01 02:31:31,544] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-07-01 02:31:31,544] 139 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_01_2026_02_21_34\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908869987849331, precision_score=0.9880856219709209, recall_score=0.9937043054427295), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9753136382031566, precision_score=0.9733441033925686, recall_score=0.9772911597729116))
[2026-07-01 02:31:31,545] 44 root - INFO - Model Training artifact created
