[2026-06-30 18:45:33,629] 16 root - INFO - Initiate the data ingestion
[2026-06-30 18:45:35,227] 66 root - INFO - Performed train test split on the dataframe
[2026-06-30 18:45:35,227] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-30 18:45:35,228] 76 root - INFO - Exporting train and test file path.
[2026-06-30 18:45:35,282] 85 root - INFO - Exported train and test file path.
[2026-06-30 18:45:35,282] 20 root - INFO - Data Ingestion Completed
[2026-06-30 18:45:35,288] 25 root - INFO - Initiate the data Validation
[2026-06-30 18:45:35,335] 32 root - INFO - Required number of columns:2
[2026-06-30 18:45:35,369] 33 root - INFO - Data frame has columns:31
[2026-06-30 18:45:35,370] 32 root - INFO - Required number of columns:2
[2026-06-30 18:45:35,370] 33 root - INFO - Data frame has columns:31
[2026-06-30 18:45:35,518] 27 root - INFO - data Validation Completed
[2026-06-30 18:45:35,518] 31 root - INFO - data Transformation started
[2026-06-30 18:45:35,519] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-30 18:45:35,519] 55 root - INFO - Starting data transformation
