[2026-07-01 02:02:44,430] 18 root - INFO - Initiate the data ingestion
[2026-07-01 02:02:46,563] 66 root - INFO - Performed train test split on the dataframe
[2026-07-01 02:02:46,563] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-01 02:02:46,565] 76 root - INFO - Exporting train and test file path.
[2026-07-01 02:02:46,832] 85 root - INFO - Exported train and test file path.
[2026-07-01 02:02:46,833] 22 root - INFO - Data Ingestion Completed
[2026-07-01 02:02:46,848] 27 root - INFO - Initiate the data Validation
[2026-07-01 02:02:46,910] 32 root - INFO - Required number of columns:2
[2026-07-01 02:02:46,912] 33 root - INFO - Data frame has columns:31
[2026-07-01 02:02:46,912] 32 root - INFO - Required number of columns:2
[2026-07-01 02:02:46,912] 33 root - INFO - Data frame has columns:31
[2026-07-01 02:02:47,343] 29 root - INFO - data Validation Completed
[2026-07-01 02:02:47,344] 33 root - INFO - data Transformation started
[2026-07-01 02:02:47,344] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-07-01 02:02:47,344] 55 root - INFO - Starting data transformation
[2026-07-01 02:02:47,393] 38 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-07-01 02:02:47,393] 43 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-01 02:02:47,464] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-07-01 02:02:47,468] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-07-01 02:02:47,469] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-07-01 02:02:47,474] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-07-01 02:02:47,474] 37 root - INFO - data Transformation completed
[2026-07-01 02:02:47,475] 39 root - INFO - Model Training started
