[2026-06-30 18:47:30,323] 16 root - INFO - Initiate the data ingestion
[2026-06-30 18:47:31,933] 66 root - INFO - Performed train test split on the dataframe
[2026-06-30 18:47:31,933] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-30 18:47:31,934] 76 root - INFO - Exporting train and test file path.
[2026-06-30 18:47:31,989] 85 root - INFO - Exported train and test file path.
[2026-06-30 18:47:31,989] 20 root - INFO - Data Ingestion Completed
[2026-06-30 18:47:31,994] 25 root - INFO - Initiate the data Validation
[2026-06-30 18:47:32,044] 32 root - INFO - Required number of columns:2
[2026-06-30 18:47:32,080] 33 root - INFO - Data frame has columns:31
[2026-06-30 18:47:32,080] 32 root - INFO - Required number of columns:2
[2026-06-30 18:47:32,080] 33 root - INFO - Data frame has columns:31
[2026-06-30 18:47:32,271] 27 root - INFO - data Validation Completed
[2026-06-30 18:47:32,272] 31 root - INFO - data Transformation started
[2026-06-30 18:47:32,272] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-30 18:47:32,272] 55 root - INFO - Starting data transformation
[2026-06-30 18:47:32,316] 38 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-06-30 18:47:32,316] 43 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-30 18:47:32,452] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-30 18:47:32,455] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-30 18:47:32,455] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-30 18:47:32,458] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-30 18:47:32,459] 35 root - INFO - data Transformation completed
